,,,,,,TP,TP,AI,RH,PP,PET,PV,SC,SM,SP,SR,WV,WS,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,GD,GD,GD,GD,GD,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,UVB,UVB,UVB,UVB,UVB,UVB,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM
SN,barcode,Province,long,lat,colour,Elevation (m),Aspect (degree),Annual aridity (ratio),Annual Relative Humidity (%),Net primary productivity (kg-carbon/m²/year),Potential evapotranspiration (mm),Potential vegetation (15 biomes categories),Soil carbon (Kg-Carbon/m² to 1 m depth),Soil moisture (mm based on 150 mm water holding capacity),Soil pH (acidity-alkaline level),Annual solar radiation (kJ/m²/day),Annual water vapour (kPa),Annual wind speed (m/s),"Contrast (exponentially weighted difference in EVI between adjacent pixels, x ?0)","Correlation (linear dependency of EVI on adjacent pixels, 1? x ?-1)","Coefficient of variation (normalized dispersion of EVI, x ?0)",Dissimilarity, Entrophy,"Evenness (evenness of EVI, 1? x ?0)","Homogeneity (similarity of EVI between adjacent pixels, 1? x ?0)","Maximum (dominance of EVI combinations between adjacent pixels, 1? x ?0)","Range (Range of EVI, x ?0)",Shannon index,Simpson index,Standard deviation,"Uniformity (orderliness of EVI, 1? x ?0)­­­","Variance (Dispersion of EVI combinations between adjacent pixels, x ?0)",First day of growing season (Julian day),Growing degree days (°C based on 5-degree base temperature),Growing season length (number of days),Growing season temperature (°C/10),Last day of growing season (Julian day),Evergreen/deciduous Needleleaf trees (Lulc1),Evergreen broadleaf trees (LULC2),Deciduous Broadleaf Trees (LULC3),Mixed/other trees (LULC4),Shrubs (LULC5),Herbaceous vegetation (LULC6),Cultivated and managed vegetation (LULC7),Regularly Flooded Vegetation (LULC8),Urban/Built-up (LULC9),Snow/Ice (LULC10),Barren (LULC11),Barren (LULC12),Annual mean UV-B (J/m²/day),UV-B seasonality (J/m²/day),Mean UV-B of highest month (J/m²/day),Mean UV-B of lowest month (J/m²/day),Sum of monthly mean UV-B during highest quarter,Sum of monthly mean UV-B during lowest quarter,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
90,PE 01059411,Sichuan,98.56641800000,31.78027700000,RW,4044.50,246.77,6666.11,2.00,0.01,30.13,13.00,6.49,139.95,5.95,14610.50,0.46,2.41,186433.00,7858.00,1496.00,30700.00,53283.00,8896.00,3049.00,211.00,4033.00,31510.00,9482.00,669.00,65.00,450761.00,122.23,62.00,148.17,8.28,225.53,0.43,0.00,0.00,1.29,0.00,52.59,45.68,0.00,0.00,0.00,0.00,0.00,5745.40,265181.00,9077.62,2139.33,25710.10,9584.26,16.00,95.00,318.00,6862.00,153.00,-146.00,299.00,106.00,-80.00,106.00,-80.00,679.00,143.00,2.00,97.00,413.00,7.00,7.00,7.00
93,SM713100184,Sichuan,99.69167900000,31.72048300000,RW,3759.52,153.21,6543.33,20.00,0.37,42.81,10.00,5.65,118.15,6.37,14204.70,0.50,2.34,128913.00,6255.00,873.00,26962.00,49996.00,8797.00,3175.00,239.00,2465.00,28056.00,9276.00,421.00,89.00,172123.00,100.04,795.00,173.74,8.97,212.32,0.00,0.00,0.00,0.00,0.00,54.64,45.36,0.00,0.00,0.00,0.00,0.00,5560.42,254114.00,8811.60,2086.95,24723.30,9266.36,31.00,99.00,328.00,6818.00,165.00,-138.00,304.00,119.00,-67.00,119.00,-67.00,497.00,102.00,3.00,94.00,304.00,8.00,8.00,8.00
96,SM713100145,Sichuan,100.00433900000,31.60916800000,RW,3563.48,211.93,6375.95,18.00,0.53,33.27,13.00,6.15,142.31,6.05,14080.80,0.54,2.29,444622.00,6949.00,2013.00,43318.00,56015.00,8939.00,2583.00,149.00,4867.00,33340.00,9571.00,861.00,49.00,725634.00,86.90,538.00,158.63,9.73,166.22,0.16,0.00,0.00,0.36,0.00,53.37,46.11,0.00,0.00,0.00,0.00,0.00,5518.46,253198.00,8724.97,2066.71,24604.00,9187.46,40.00,98.00,330.00,6674.00,171.00,-127.00,298.00,126.00,-55.00,126.00,-56.00,398.00,84.00,2.00,92.00,239.00,7.00,7.00,7.00
103,PE 01059399,Sichuan,102.17207900000,31.92324600000,RW,3299.09,310.54,7310.88,30.00,0.46,37.47,10.00,6.41,147.30,5.89,13061.40,0.62,2.12,239546.00,6208.00,1061.00,32605.00,51995.00,8760.00,3052.00,236.00,3190.00,29762.00,9367.00,556.00,78.00,314599.00,75.94,1316.00,216.47,9.32,245.31,24.90,2.36,0.00,58.57,0.00,7.75,5.54,0.00,0.77,0.00,0.00,0.00,5195.07,240976.00,8213.16,1901.19,23233.00,8494.89,52.00,88.00,328.00,5993.00,172.00,-95.00,267.00,126.00,-32.00,133.00,-32.00,545.00,112.00,2.00,87.00,311.00,6.00,6.00,6.00
131,HNWP 53388,Xizang,91.97620900000,31.41753000000,RW,4534.46,13.41,5552.53,52.00,0.38,35.84,13.00,3.74,105.54,7.35,16812.80,0.34,3.29,184908.00,6178.00,1403.00,31445.00,52380.00,8623.00,2972.00,240.00,3210.00,29568.00,9351.00,504.00,77.00,245937.00,131.30,384.00,151.74,7.46,277.21,0.00,0.00,0.00,0.00,0.00,55.75,44.25,0.00,0.00,0.00,0.00,0.00,5792.83,262955.00,9111.64,2244.18,25779.20,9768.25,1.00,105.00,329.00,7101.00,145.00,-175.00,320.00,94.00,-88.00,95.00,-99.00,433.00,106.00,3.00,109.00,299.00,8.00,8.00,9.00
132,HNWP 59007,Xizang,92.06045200000,31.45385400000,RW,4560.73,258.01,5675.27,52.00,0.37,35.23,13.00,3.93,113.48,7.22,16772.10,0.34,3.24,142841.00,5877.00,1113.00,26605.00,48246.00,8168.00,3493.00,408.00,3017.00,26974.00,9080.00,433.00,126.00,205615.00,134.37,359.00,149.87,7.41,280.88,0.00,0.00,0.00,0.00,0.00,69.37,30.63,0.00,0.00,0.00,0.00,0.00,5757.05,260085.00,9031.10,2248.32,25609.90,9739.07,0.00,105.00,328.00,7111.00,144.00,-176.00,319.00,92.00,-89.00,94.00,-101.00,497.00,122.00,3.00,109.00,342.00,9.00,9.00,10.00
146,TI2279918,Xizang,98.05388888890,31.34472222220,RW,4247.61,165.72,6192.98,5.00,0.01,35.27,13.00,6.58,126.17,5.97,14702.80,0.44,2.58,106236.00,6359.00,824.00,24252.00,48547.00,8748.00,3506.00,325.00,2144.00,26838.00,9180.00,381.00,110.00,145846.00,133.33,262.00,157.72,7.87,290.43,0.00,0.00,0.00,0.00,0.00,62.44,37.56,0.00,0.00,0.00,0.00,0.00,5843.56,264276.00,9187.49,2228.94,25915.80,9876.40,11.00,91.00,313.00,6734.00,145.00,-147.00,291.00,99.00,-82.00,100.00,-82.00,752.00,167.00,2.00,101.00,482.00,6.00,6.00,6.00
151,Deng-9736,Xizang,97.21456700000,31.33499600000,RW,3905.60,303.67,5185.75,3.00,0.00,37.06,13.00,5.80,94.68,6.28,15077.90,0.49,2.19,118449.00,7289.00,1193.00,25777.00,51187.00,9108.00,3404.00,237.00,2592.00,29254.00,9375.00,491.00,80.00,237004.00,108.96,40.00,177.94,8.76,268.13,3.38,0.00,0.00,12.52,0.00,57.42,26.67,0.00,0.00,0.00,0.00,0.00,5944.06,267996.00,9311.91,2286.91,26336.80,10034.60,28.00,90.00,309.00,6693.00,161.00,-131.00,292.00,115.00,-66.00,117.00,-66.00,422.00,90.00,1.00,97.00,266.00,4.00,4.00,4.00
152,Deng-9772,Xizang,98.38305990000,31.65095130000,RW,3987.95,271.72,5997.21,5.00,0.01,29.82,13.00,7.10,137.74,5.75,14635.90,0.47,2.36,188174.00,7350.00,1363.00,30548.00,52970.00,9124.00,3134.00,200.00,3035.00,30716.00,9466.00,595.00,67.00,366677.00,113.31,70.00,179.23,8.43,281.77,4.18,0.00,0.00,19.17,0.00,48.01,28.64,0.00,0.00,0.00,0.00,0.00,5732.17,263827.00,9110.52,2161.07,25592.10,9513.38,23.00,94.00,317.00,6791.00,159.00,-137.00,296.00,113.00,-72.00,113.00,-72.00,561.00,119.00,2.00,98.00,352.00,5.00,5.00,5.00
153,Deng-9745,Xizang,97.19849297220,31.46795397220,RW,3845.24,235.14,5034.31,4.00,0.00,37.06,13.00,5.80,94.68,6.28,15086.60,0.49,2.16,124441.00,7143.00,1198.00,25237.00,50297.00,8929.00,3533.00,272.00,2540.00,28754.00,9333.00,474.00,90.00,218722.00,102.92,40.00,168.33,9.07,233.18,30.90,0.00,0.00,17.27,0.00,39.73,12.28,0.00,0.00,0.00,0.00,0.00,5941.85,268093.00,9301.81,2287.74,26347.60,10030.60,33.00,91.00,310.00,6698.00,168.00,-126.00,294.00,121.00,-60.00,123.00,-60.00,504.00,109.00,2.00,99.00,321.00,6.00,6.00,6.00
162,ZBFC-295,Xizang,87.80629330000,31.98402120000,RW,4589.97,193.77,3352.37,5.00,0.37,28.41,13.00,4.85,104.40,7.16,17147.90,0.28,3.80,17894.00,7226.00,2303.00,6361.00,26745.00,6258.00,7497.00,2334.00,1751.00,16649.00,7570.00,180.00,1154.00,31081.00,127.95,343.00,94.91,7.59,186.78,0.00,0.00,0.00,0.00,21.79,19.63,3.98,0.00,0.00,0.00,53.93,0.67,5765.27,266781.00,9160.07,2196.99,25854.70,9619.07,-7.00,117.00,346.00,7548.00,151.00,-186.00,337.00,92.00,-95.00,93.00,-111.00,250.00,75.00,1.00,129.00,222.00,4.00,4.00,5.00
163,ZBFC-425,Xizang,90.85681430000,31.40559400000,RW,4642.85,69.42,4676.73,44.00,0.51,35.57,13.00,5.44,60.05,7.22,17053.90,0.34,3.56,307408.00,7530.00,4419.00,34457.00,50280.00,8443.00,3670.00,497.00,3987.00,30529.00,9313.00,784.00,141.00,626454.00,123.96,394.00,114.87,7.50,189.24,0.00,0.00,0.00,0.00,0.00,67.42,1.20,0.00,0.00,0.00,31.39,0.00,5870.85,268430.00,9301.07,2250.50,26147.40,9850.69,0.00,112.00,339.00,7223.00,147.00,-182.00,330.00,95.00,-95.00,95.00,-102.00,271.00,72.00,1.00,114.00,202.00,4.00,4.00,4.00
77,KUN 1247503,Qinghai,96.15078333330,31.16140000000,RW,4536.66,19.21,7101.72,2.00,0.00,33.15,13.00,6.14,130.56,6.30,15245.10,0.43,2.80,218861.00,7744.00,1972.00,33288.00,54551.00,9004.00,2881.00,198.00,4476.00,32418.00,9519.00,757.00,59.00,603308.00,147.61,12.00,138.80,7.26,285.84,0.00,0.00,0.00,0.00,0.00,69.89,25.95,0.00,0.00,0.72,3.44,0.00,6027.48,268383.00,9379.54,2356.59,26658.80,10228.00,-1.00,85.00,292.00,6824.00,132.00,-159.00,291.00,88.00,-96.00,91.00,-96.00,528.00,109.00,2.00,91.00,319.00,7.00,7.00,7.00
97,HNWP 65709,Sichuan,101.10177000000,30.97702000000,RW,3268.94,165.37,5992.17,18.00,0.48,34.76,10.00,6.54,142.57,5.88,13373.10,0.60,2.01,218304.00,7477.00,1450.00,33911.00,54758.00,9158.00,2801.00,187.00,3481.00,31976.00,9525.00,654.00,55.00,427857.00,58.18,736.00,211.99,10.02,122.22,1.00,0.00,0.00,0.00,0.00,57.99,41.01,0.00,0.00,0.00,0.00,0.00,5583.02,244713.00,8615.31,2166.88,24426.60,9557.55,64.00,88.00,342.00,5738.00,177.00,-81.00,258.00,138.00,-17.00,138.00,-17.00,449.00,98.00,1.00,95.00,265.00,4.00,4.00,4.00
117,Zhang13,Sichuan,100.99916666700,31.07472222220,RW,3505.37,59.74,5810.46,17.00,0.43,35.29,13.00,7.16,143.34,5.62,13431.90,0.58,2.17,186295.00,7293.00,1366.00,31252.00,53863.00,9053.00,2979.00,189.00,3120.00,31294.00,9486.00,616.00,61.00,405084.00,62.63,764.00,173.27,11.13,116.57,0.17,0.00,0.00,2.60,0.00,53.03,44.21,0.00,0.00,0.00,0.00,0.00,5588.78,249016.00,8692.77,2143.87,24598.10,9421.69,65.00,89.00,341.00,5825.00,179.00,-82.00,262.00,140.00,-18.00,140.00,-18.00,419.00,93.00,1.00,100.00,264.00,3.00,3.00,3.00
135,HNWP 39803,Xizang,96.62080800000,31.18929000000,RW,4115.21,135.94,5685.50,3.00,0.00,35.28,13.00,6.07,119.39,6.29,15168.80,0.48,2.43,203792.00,5759.00,1284.00,33097.00,52508.00,8765.00,2792.00,199.00,3058.00,29620.00,9373.00,499.00,69.00,240924.00,111.05,52.00,165.90,8.62,247.09,3.93,0.00,0.00,1.29,0.00,57.27,38.00,0.00,0.00,0.00,0.00,0.00,6023.86,267965.00,9406.14,2359.99,26604.50,10293.30,26.00,87.00,298.00,6728.00,158.00,-132.00,291.00,114.00,-68.00,117.00,-68.00,342.00,72.00,1.00,94.00,209.00,4.00,4.00,4.00
137,HNWP 62479,Xizang,98.28111600000,30.83370900000,RW,3829.64,39.64,5186.65,15.00,0.40,33.92,13.00,6.72,127.09,5.86,14675.80,0.50,2.22,156264.00,7735.00,2332.00,28936.00,53214.00,9320.00,3111.00,218.00,2739.00,31034.00,9487.00,604.00,65.00,354882.00,93.30,613.00,166.91,9.14,193.93,0.00,0.00,0.00,0.00,0.00,52.01,47.99,0.00,0.00,0.00,0.00,0.00,5786.03,256772.00,9066.16,2256.29,25472.50,9908.12,38.00,88.00,312.00,6566.00,166.00,-117.00,282.00,123.00,-54.00,123.00,-54.00,323.00,78.00,0.00,109.00,224.00,1.00,1.00,1.00
142,KUN 1274392,Xizang,96.65535833330,31.26843888890,RW,4383.07,260.20,6451.67,4.00,0.00,35.28,13.00,6.07,119.39,6.29,15021.60,0.43,2.85,259633.00,7237.00,1884.00,36996.00,55264.00,9099.00,2639.00,186.00,3503.00,32264.00,9515.00,718.00,54.00,543706.00,140.20,52.00,149.79,7.79,289.51,2.52,0.00,0.00,1.48,0.00,62.47,33.00,0.00,0.00,0.00,0.00,0.00,5998.37,268286.00,9396.87,2337.69,26532.70,10201.20,7.00,88.00,300.00,6769.00,141.00,-151.00,293.00,96.00,-87.00,99.00,-87.00,708.00,147.00,3.00,94.00,435.00,9.00,9.00,9.00
154,Deng-9733,Xizang,97.16273497220,31.26064200000,RW,3804.29,230.37,4878.97,3.00,0.00,37.06,13.00,5.80,94.68,6.28,15115.50,0.51,2.11,138302.00,6845.00,1188.00,28151.00,51668.00,8984.00,3072.00,214.00,2555.00,29138.00,9374.00,478.00,74.00,223946.00,97.95,40.00,192.42,9.02,265.53,3.76,0.00,0.00,2.81,0.00,56.03,37.33,0.00,0.00,0.00,0.00,0.00,6009.18,269199.00,9385.14,2334.50,26589.70,10199.20,36.00,89.00,307.00,6671.00,169.00,-122.00,291.00,124.00,-57.00,125.00,-57.00,451.00,98.00,1.00,99.00,284.00,4.00,4.00,4.00
157,Zhang8,Xizang,91.05833333330,30.79166666670,RW,4781.35,334.72,4344.20,28.00,0.40,34.30,13.00,3.95,108.99,7.40,16986.30,0.33,3.65,85352.00,7792.00,1344.00,20377.00,46855.00,8515.00,4237.00,554.00,2553.00,27704.00,9170.00,456.00,162.00,201898.00,130.15,300.00,141.41,7.11,249.29,0.00,0.00,0.00,0.00,0.00,53.20,46.80,0.00,0.00,0.00,0.00,0.00,5976.50,266059.00,9309.85,2357.83,26367.80,10204.70,-1.00,105.00,332.00,6947.00,139.00,-178.00,316.00,90.00,-88.00,90.00,-99.00,346.00,91.00,2.00,113.00,256.00,6.00,6.00,6.00
98,HNWP 65086,Sichuan,101.72103900000,30.05839700000,RW,4179.48,314.47,13273.70,23.00,0.48,29.17,10.00,7.17,145.84,5.62,13028.80,0.52,3.23,136447.00,7835.00,1574.00,26960.00,52009.00,8979.00,3307.00,258.00,3338.00,30710.00,9440.00,586.00,78.00,337449.00,129.71,820.00,168.18,7.05,297.45,4.57,0.00,0.00,0.00,0.00,57.43,38.00,0.00,0.00,0.00,0.00,0.00,5587.83,236782.00,8489.65,2262.85,24186.70,9793.23,16.00,79.00,324.00,5671.00,123.00,-122.00,244.00,70.00,-63.00,89.00,-63.00,827.00,171.00,4.00,83.00,450.00,13.00,13.00,13.00
101,CDBI0082237,Sichuan,101.96535600000,30.00344600000,RW,3784.75,286.74,12732.80,40.00,0.51,36.15,10.00,6.84,144.30,5.79,12751.00,0.60,3.05,241676.00,8928.00,4021.00,32301.00,56131.00,9291.00,3021.00,234.00,5365.00,36187.00,9658.00,1162.00,55.00,1406432.00,111.28,782.00,196.81,7.89,307.72,15.94,0.00,0.00,34.21,0.00,33.51,9.91,0.00,0.00,6.29,0.20,0.10,5188.83,215460.00,7819.26,2143.25,22347.90,9184.61,32.00,76.00,311.00,5740.00,139.00,-104.00,243.00,104.00,-49.00,107.00,-49.00,623.00,118.00,5.00,76.00,317.00,16.00,16.00,16.00
111,Deng-9527,Sichuan,101.23449400000,30.04250100000,RW,3868.40,324.93,9801.10,30.00,0.48,30.69,10.00,6.09,147.00,6.06,13309.30,0.53,2.87,107112.00,6563.00,1003.00,24780.00,49142.00,8604.00,3409.00,348.00,2463.00,27388.00,9193.00,402.00,106.00,160841.00,97.36,814.00,208.27,7.72,291.99,26.50,0.14,0.56,40.14,0.00,21.42,10.87,0.00,0.00,0.00,0.00,0.00,5688.13,242437.00,8681.32,2304.61,24691.80,9931.46,34.00,84.00,339.00,5551.00,141.00,-106.00,247.00,106.00,-43.00,106.00,-43.00,559.00,116.00,2.00,90.00,334.00,7.00,7.00,7.00
112,Deng-9528,Sichuan,101.23450500000,30.04249600000,RW,3868.49,324.93,9801.65,30.00,0.48,30.69,10.00,6.09,147.00,6.06,13309.30,0.53,2.87,107116.00,6563.00,1003.00,24781.00,49142.00,8604.00,3409.00,348.00,2462.00,27388.00,9193.00,402.00,106.00,160829.00,97.37,814.00,208.27,7.72,292.01,26.51,0.14,0.56,40.14,0.00,21.42,10.88,0.00,0.00,0.00,0.00,0.00,5688.14,242437.00,8681.33,2304.61,24691.80,9931.45,34.00,84.00,339.00,5551.00,141.00,-106.00,247.00,106.00,-43.00,106.00,-43.00,559.00,116.00,2.00,90.00,334.00,7.00,7.00,7.00
113,Deng-9529,Sichuan,101.23444600000,30.04253400000,RW,3867.95,324.92,9798.64,30.00,0.48,30.69,10.00,6.09,147.00,6.06,13309.20,0.53,2.86,107093.00,6565.00,1004.00,24778.00,49143.00,8604.00,3410.00,348.00,2463.00,27390.00,9193.00,402.00,106.00,160895.00,97.32,814.00,208.31,7.72,291.91,26.47,0.14,0.57,40.14,0.00,21.45,10.86,0.00,0.00,0.00,0.00,0.00,5688.11,242436.00,8681.28,2304.60,24691.70,9931.48,34.00,84.00,339.00,5551.00,141.00,-106.00,247.00,106.00,-43.00,106.00,-43.00,559.00,116.00,2.00,90.00,334.00,7.00,7.00,7.00
134,PE 01059572,Xizang,96.42386900000,30.16791100000,RW,4563.12,332.42,7667.30,3.00,0.03,32.87,13.00,6.14,140.77,6.30,14998.10,0.44,3.03,238293.00,8825.00,4660.00,34017.00,56139.00,9317.00,2989.00,181.00,4139.00,34545.00,9627.00,1036.00,51.00,1076320.00,165.30,0.00,118.69,6.51,283.41,0.02,0.00,0.00,0.00,4.19,53.95,1.26,0.00,0.00,40.75,0.00,0.00,6211.19,261836.00,9462.66,2552.45,26852.30,10873.30,-10.00,75.00,276.00,6635.00,113.00,-160.00,272.00,76.00,-101.00,79.00,-101.00,555.00,95.00,3.00,68.00,264.00,11.00,11.00,11.00
136,PE 01059559,Xizang,96.92357500000,30.04691900000,RW,4225.44,26.49,6504.11,9.00,0.03,47.01,13.00,6.08,112.10,6.32,15071.80,0.49,2.65,116843.00,8168.00,2787.00,22089.00,48882.00,8674.00,4073.00,367.00,3195.00,29424.00,9343.00,579.00,115.00,319801.00,118.69,157.00,167.02,8.57,268.87,4.49,0.00,0.00,10.21,3.07,63.82,19.15,0.00,0.00,0.00,0.00,0.00,6205.40,260669.00,9435.51,2548.94,26741.20,10914.40,25.00,77.00,279.00,6654.00,147.00,-129.00,276.00,113.00,-67.00,113.00,-67.00,325.00,62.00,2.00,80.00,185.00,6.00,6.00,6.00
144,TI2279922,Xizang,97.33361111110,30.17111111110,RW,4474.04,233.48,6759.67,13.00,0.20,35.74,13.00,6.31,129.27,6.14,14941.20,0.44,2.99,266817.00,7298.00,2560.00,37391.00,55389.00,9148.00,2616.00,217.00,3501.00,32617.00,9533.00,713.00,54.00,495514.00,137.90,357.00,155.47,7.67,292.62,3.55,0.00,0.00,2.66,0.00,80.79,11.94,0.00,0.00,0.00,1.06,0.00,6101.61,261578.00,9334.14,2468.53,26535.30,10591.40,9.00,80.00,288.00,6613.00,132.00,-144.00,277.00,96.00,-83.00,96.00,-83.00,472.00,111.00,2.00,99.00,324.00,6.00,6.00,6.00
100,PE 01611301,Sichuan,101.88321600000,29.99430300000,RW,3680.83,49.81,11650.60,34.00,0.46,31.10,10.00,7.44,147.77,5.50,12797.20,0.61,2.92,185261.00,8973.00,2315.00,31711.00,56060.00,9127.00,2887.00,170.00,4745.00,34846.00,9626.00,1005.00,48.00,956371.00,95.35,490.00,218.03,8.13,312.88,9.50,22.40,0.00,34.86,0.00,20.54,9.04,0.00,0.00,0.00,0.00,2.96,5452.20,229524.00,8278.31,2215.98,23571.80,9578.99,41.00,77.00,316.00,5674.00,146.00,-96.00,242.00,100.00,-40.00,114.00,-40.00,635.00,130.00,3.00,84.00,341.00,10.00,10.00,10.00
102,PE 01059360,Sichuan,102.16847400000,29.85456500000,RW,2078.86,87.82,8893.46,54.00,0.79,62.99,10.00,4.01,126.81,7.18,12082.30,0.91,1.70,150351.00,8212.00,1256.00,28526.00,53387.00,9108.00,3188.00,214.00,3273.00,31805.00,9503.00,679.00,66.00,463117.00,-7348.04,2124.00,347.24,11.03,-7307.85,3.25,46.73,0.00,28.56,0.13,8.16,13.66,0.00,0.00,0.00,0.00,0.00,3782.56,138802.00,5334.49,1764.00,15782.30,7120.79,107.00,72.00,299.00,5753.00,212.00,-31.00,243.00,179.00,23.00,181.00,23.00,829.00,148.00,5.00,78.00,438.00,16.00,16.00,16.00
125,PE 01059563,Xizang,89.11989200000,29.35210500000,RW,3863.94,18.27,3780.76,41.00,0.27,38.83,11.00,6.60,77.38,6.01,17528.20,0.48,2.56,371056.00,8398.00,5795.00,36449.00,51766.00,8848.00,3876.00,444.00,4711.00,32769.00,9462.00,1037.00,120.00,1249179.00,98.21,958.00,119.54,10.41,117.18,0.00,0.00,0.00,0.00,24.53,54.52,8.69,0.00,0.00,0.00,12.25,0.00,6164.23,256920.00,9341.76,2588.13,26558.80,10961.00,44.00,92.00,326.00,6338.00,165.00,-117.00,281.00,127.00,-40.00,127.00,-44.00,228.00,81.00,0.00,145.00,230.00,0.00,0.00,0.00
129,PE 01059601,Xizang,91.22450400000,29.68033500000,RW,3913.68,287.84,3787.41,35.00,0.38,38.32,10.00,6.14,80.60,6.30,17629.30,0.46,2.68,505684.00,7914.00,4054.00,48069.00,57735.00,9389.00,2596.00,208.00,4897.00,35975.00,9673.00,1140.00,45.00,1368789.00,90.90,870.00,113.97,11.39,126.59,0.00,0.00,0.00,0.00,0.00,58.24,41.76,0.00,0.00,0.00,0.00,0.00,6040.21,254912.00,9206.44,2520.98,26163.50,10675.60,54.00,90.00,323.00,6261.00,175.00,-103.00,278.00,136.00,-27.00,136.00,-33.00,309.00,91.00,0.00,129.00,270.00,1.00,1.00,1.00
130,PE 01059602,Xizang,91.54933000000,29.80672600000,RW,4126.81,289.92,3633.26,31.00,0.38,38.07,10.00,6.14,83.85,6.30,17382.90,0.41,2.91,366977.00,6734.00,2532.00,40397.00,54209.00,8791.00,2856.00,263.00,3920.00,32026.00,9436.00,785.00,73.00,765377.00,87.05,581.00,104.09,10.94,89.98,0.00,0.00,0.00,0.00,0.00,53.08,46.92,0.00,0.00,0.00,0.00,0.00,6060.66,259221.00,9343.42,2488.44,26309.60,10607.50,47.00,89.00,322.00,6239.00,169.00,-107.00,275.00,129.00,-34.00,129.00,-39.00,275.00,79.00,1.00,127.00,236.00,2.00,2.00,2.00
133,PE 01059604,Xizang,93.18182900000,29.90011200000,RW,4179.50,186.22,4636.13,20.00,0.45,30.70,13.00,5.35,134.94,6.63,16439.00,0.47,2.57,310003.00,8026.00,2654.00,38762.00,56142.00,9123.00,2688.00,180.00,4557.00,34351.00,9602.00,990.00,50.00,984907.00,104.95,430.00,151.19,8.77,202.41,3.34,6.99,0.00,11.78,1.45,54.54,21.53,0.00,0.00,0.00,0.00,0.00,6243.12,265350.00,9522.58,2540.38,27084.30,10901.30,32.00,72.00,285.00,6094.00,147.00,-107.00,254.00,114.00,-51.00,114.00,-51.00,408.00,92.00,3.00,98.00,267.00,9.00,9.00,9.00
138,PE 01059575,Xizang,98.88836900000,29.50303900000,RW,3998.03,161.61,6057.19,32.00,0.51,42.13,10.00,5.54,118.74,6.56,14386.60,0.49,2.71,140790.00,7226.00,1367.00,27843.00,51870.00,8994.00,3232.00,263.00,2775.00,29694.00,9387.00,502.00,80.00,250889.00,95.66,803.00,195.12,8.56,259.57,0.74,0.00,1.26,0.00,1.16,54.87,41.29,0.00,0.00,0.00,0.00,0.00,5845.20,244715.00,8935.83,2404.22,25179.10,10307.10,38.00,75.00,298.00,6130.00,152.00,-101.00,253.00,116.00,-47.00,117.00,-47.00,361.00,99.00,0.00,114.00,282.00,1.00,1.00,1.00
140,KUN 1247508,Xizang,93.33339444440,29.86768055560,RW,4157.80,323.80,4416.58,27.00,0.45,30.70,13.00,5.35,134.94,6.63,16338.60,0.44,2.71,236288.00,8467.00,2308.00,35821.00,56488.00,9045.00,2653.00,159.00,4687.00,34425.00,9606.00,899.00,47.00,763409.00,122.28,430.00,181.85,8.19,301.59,24.05,0.00,0.00,57.22,3.16,15.73,0.01,0.00,0.00,0.00,0.00,0.00,6096.32,259298.00,9270.39,2512.43,26491.20,10591.80,29.00,70.00,279.00,6038.00,142.00,-108.00,250.00,107.00,-54.00,110.00,-54.00,454.00,91.00,5.00,84.00,259.00,16.00,16.00,16.00
141,E00550371,Xizang,94.50000000000,29.48333333330,RW,3323.57,238.62,6293.80,33.00,0.51,29.09,10.00,6.85,144.36,5.66,15670.40,0.68,1.91,397517.00,8778.00,3709.00,43641.00,57569.00,9410.00,2555.00,159.00,4992.00,36562.00,9696.00,1326.00,41.00,1760048.00,-299.59,913.00,233.19,9.57,-113.81,10.20,9.60,0.00,23.40,7.60,18.80,31.00,0.00,0.00,0.00,0.00,0.00,6098.17,253944.00,9285.11,2525.89,26191.60,10749.10,61.00,60.00,263.00,5687.00,163.00,-64.00,226.00,133.00,-17.00,138.00,-17.00,815.00,155.00,3.00,84.00,455.00,14.00,14.00,14.00
143,KUN 1274412,Xizang,96.84936666670,29.39544722220,RW,4355.99,281.08,7835.14,6.00,0.35,0.00,13.00,4.64,150.00,6.86,14944.50,0.49,2.83,238960.00,7972.00,3465.00,33840.00,54108.00,8948.00,3020.00,239.00,4179.00,32815.00,9520.00,838.00,68.00,731820.00,150.75,231.00,145.86,7.77,295.68,7.18,0.00,0.00,0.00,17.11,43.57,21.41,0.00,0.00,10.73,0.00,0.00,6513.00,267440.00,9725.51,2721.27,27902.60,11534.00,12.00,71.00,273.00,6455.00,125.00,-136.00,260.00,96.00,-78.00,96.00,-78.00,777.00,125.00,8.00,64.00,371.00,25.00,25.00,25.00
